hostel.name,City,price.from,Distance,summary.score,rating.band,atmosphere,cleanliness,facilities,location.y,security,staff,valueformoney,lon,lat
ARTnSHELTER,Tokyo,2400,10.5km from city centre,8.3,Fabulous,8.2,8.1,7.7,7.9,9.1,9,8.3,139.742108,35.604242
Guest House Shinagawa-shuku Tokyo,Tokyo,3300,8.7km from city centre,9.2,Superb,9,9.3,9.3,8.7,9,10,9,139.7403581,35.6217794
Tokyo Hostel ENISHI,Tokyo,3300,4.7km from city centre,8.6,Fabulous,7.5,9,9,8.5,9,9,8.5,139.6794363,35.6482038
Wise Owl Hostels Shibuya,Tokyo,2500,4km from city centre,9.1,Superb,8.9,9.6,9.1,8.4,9.6,9.5,8.8,139.6897743,35.6537001
Nadeshiko Hotel Shibuya (Female Only),Tokyo,5500,3.8km from city centre,9.2,Superb,8.7,9.7,9.7,8.7,9.7,9.3,8.7,139.692988,35.6550972
Turn Table Hostel,Tokyo,5400,3.8km from city centre,9.6,Superb,9.4,9.9,9.7,9.7,9.6,9.6,9.3,139.6929157,35.6553861
Zabutton Hostel,Tokyo,2900,5.9km from city centre,8.6,Fabulous,8.1,8.5,7.8,9,8.9,9.5,8.5,139.742116,35.65547
The Millennials Shibuya,Tokyo,6300,3.1km from city centre,9.3,Superb,8.9,10,9.3,9.8,9.5,8.9,8.7,139.6996954,35.6621966
The Prime Pod Ginza Tokyo,Tokyo,3700,7.2km from city centre,9,Superb,7.9,9.2,9.2,9.5,9.6,9,8.4,139.7670874,35.6692691
Kaisu Hostel,Tokyo,3900,4.4km from city centre,9.4,Superb,9.1,9.7,9.3,9.3,9.6,9.5,9.2,139.734537,35.669916
Almond hostel & cafe Shibuya,Tokyo,2900,2.2km from city centre,9.3,Superb,9.1,9.5,8.8,9.5,9.4,9.7,9,139.6875352,35.6700092
Hiromas Inn  Chitose-Karasuyama,Tokyo,3000,0km from city centre,7.5,Very Good,7.1,9.1,7.4,7.4,6.3,6.9,8.3,139.6033214,35.6711619
Imano Tokyo Ginza Hostel,Tokyo,2700,7.6km from city centre,8.9,Fabulous,8.3,9.3,8.9,8.8,9.3,9.2,8.7,139.7729057,35.6723059
Centurion Hotel Residential Akasaka,Tokyo,2600,4.5km from city centre,9,Superb,7.5,9.3,9.3,9.3,9.5,8.9,9,139.7376971,35.6738463
Wise Owl Hostels Tokyo,Tokyo,2000,7.9km from city centre,9.1,Superb,8.4,9.5,9.1,9.1,9.4,9.3,9.1,139.7772748,35.6747807
Oakhostel Cabin,Tokyo,2100,8.6km from city centre,9,Superb,8.1,9.5,9.1,8.4,9.4,9.2,9.2,139.7859882,35.678055
Lyuro Tokyo Kiyosumi -The Share Hotels-,Tokyo,3200,9.1km from city centre,9.4,Superb,9.3,10,10,7.3,10,9.3,10,139.7920658,35.6812172
Hostel Pumpkey Tokyo,Tokyo,3400,2.3km from city centre,8.7,Fabulous,8.3,9,8.5,9,8.7,9,8.3,139.716957,35.686319
Nihonbashi Muromachi BAY HOTEL,Tokyo,4000,7.6km from city centre,9.2,Superb,9,9.7,8.7,8.3,10,9.3,9.3,139.7756795,35.6872974
Oak Hotel Edo,Tokyo,2200,9.7km from city centre,7.6,Very Good,4,10,8,8,8,8,7,139.798931,35.6879156
Capsule Value Kanda,Tokyo,3000,7.1km from city centre,8.6,Fabulous,8,8.7,7.3,9.3,8.7,9.3,8.7,139.7707637,35.6895954
Tadaima Japan Shinjuku Ryokan,Tokyo,7600,2.8km from city centre,8.4,Fabulous,8,9,9,8,8,9,8,139.7229976,35.6897213
GRIDS TOKYO NIHOMBASHI EAST HOTEL&HOSTEL,Tokyo,2400,8.3km from city centre,8.3,Fabulous,6.7,9.3,8.7,9.3,9.3,7.3,7.3,139.783943,35.690286
hostel DEN,Tokyo,2400,7.7km from city centre,9.4,Superb,9.1,9.7,9.3,9,9.7,9.7,9.4,139.7766966,35.6910315
CITAN Hostel,Tokyo,2500,8.1km from city centre,9.4,Superb,9.3,9.8,9.5,9.1,9.5,9.6,9.3,139.781352,35.691571
Obi Hostel,Tokyo,2000,8.2km from city centre,9.1,Superb,8.4,9.2,9,9,9.3,9.4,9.1,139.7819046,35.6920482
Ace Inn Shinjuku,Tokyo,2200,3km from city centre,7.7,Very Good,6.7,7.2,6.8,8.5,7.8,8.5,8.1,139.7243036,35.6925119
Japanize Guest House,Tokyo,1900,8.1km from city centre,7.6,Very Good,7,6,7.7,8.7,7.7,8,8.3,139.7816602,35.6925343
IRORI Nihonbashi Hostel and Kitchen,Tokyo,2100,8.3km from city centre,9,Superb,8.9,8.9,8.9,9,9.2,9.3,8.8,139.7836767,35.6926538
Hiromas Hostel in Kanda,Tokyo,2000,7.6km from city centre,9.3,Superb,8.4,9.8,9.5,9.1,9.2,9.4,9.3,139.7763124,35.6928219
Tokyo Hostel Fuji,Tokyo,2000,1.6km from city centre,9.2,Superb,8.8,9.3,9,9,9.4,9.8,9.2,139.674336,35.692835
Imano Tokyo Hostel,Tokyo,3300,1.5km from city centre,8.6,Fabulous,7.7,8.9,8.1,9.3,8.6,9.2,8.1,139.7077128,35.6935053
Train Hostel HOKUTOSEI,Tokyo,2100,8.3km from city centre,8.7,Fabulous,7.4,9.3,9,8.7,8.8,9.2,8.8,139.7828434,35.694048
Khaosan World Ryogoku Hostel,Tokyo,2300,9.5km from city centre,9,Superb,8.2,9.1,8.9,9.6,9.1,9.3,8.4,139.7967617,35.6943259
Planetyze Hostel,Tokyo,2400,8.5km from city centre,9.3,Superb,8.6,9.5,9,9.3,9.6,9.6,9.3,139.786004,35.694492
Jimbocho Sakura Hotel,Tokyo,2200,5.9km from city centre,9.4,Superb,9,9.5,10,9,9,9.5,10,139.756455,35.694959
Anne Hostel Yokozuna,Tokyo,1800,9.5km from city centre,9.1,Superb,8.8,9.1,9,9.2,9.3,9.3,9.2,139.7967977,35.6954897
GRIDS TOKYO AKIHABARA HOTEL&HOSTEL,Tokyo,2400,8km from city centre,8.7,Fabulous,7.8,9.4,8.7,8.7,8.8,8.7,8.7,139.780326,35.696562
Grids Tokyo Asakusa-Bashi Hotel&Hostel,Tokyo,2200,8.3km from city centre,9,Superb,7.9,9.6,9,8.7,9.5,9.5,8.9,139.780326,35.696562
Hostel＆Café East57 Asakusabashi,Tokyo,2200,8.7km from city centre,8.7,Fabulous,7.8,9.3,7.8,9.1,9,9.1,8.6,139.7876509,35.6967579
&And Hostel Akihabara,Tokyo,3600,7.8km from city centre,8.7,Fabulous,8,7,9,8,10,10,9,139.7774724,35.6974473
Akihabara Hotel 3000,Tokyo,2200,8km from city centre,10,Superb,10,10,10,10,10,10,10,139.779382,35.6974904
Capsule Inn Kinshichou,Tokyo,2600,10.9km from city centre,8.6,Fabulous,6,10,8,8,10,8,10,139.81198,35.6981223
Anne Hostel Asakusabashi,Tokyo,2000,8.9km from city centre,9.1,Superb,8.8,9.2,8.7,9,9.1,9.5,9.2,139.7893595,35.6989448
Tokyo House Inn,Tokyo,3800,1.5km from city centre,6.8,Good,6,6.7,6.7,8,6,7.3,6.7,139.7038187,35.6990062
Tokyo Sumidagawa Youth Hostel,Tokyo,2500,8.9km from city centre,7.7,Very Good,6.5,6,8,8,9,9,7.5,139.7892234,35.6991309
Hikari House,Tokyo,4000,1.4km from city centre,7.6,Very Good,6.3,8,6.8,9.4,6.9,8.6,7.6,139.7019965,35.6991367
Tokyo Central Youth Hostel,Tokyo,3200,4.8km from city centre,8,Fabulous,6,10,10,8,8,8,6,139.743522,35.700821
Guesthouse Fete,Tokyo,2300,9.7km from city centre,9.4,Superb,9.8,9.2,8.9,8.8,9.5,9.9,9.4,139.7981,35.701441
YADOYA Guesthouse Green,Tokyo,2300,2.6km from city centre,8.2,Fabulous,7.9,7.7,6.9,8.9,8.9,8.8,8.3,139.6681253,35.7029083
MyCUBE by MYSTAYS Asakusa-Kuramae,Tokyo,3200,9.2km from city centre,8.8,Fabulous,8,9.5,9,8,9,9,9,139.7920033,35.7037857
Nui. Hostel & Bar Lounge,Tokyo,2500,9.3km from city centre,9.3,Superb,9.5,9.6,9.4,8.6,9.3,9.6,9.4,139.7933951,35.7038859
Hiromas Hostel in Akiba,Tokyo,2700,7.3km from city centre,9.2,Superb,8.7,9.6,9.2,9.1,9.1,9.4,9.6,139.7702062,35.704546
Unplan Kagurazaka,Tokyo,3200,4km from city centre,9.5,Superb,9.2,9.9,9.6,8.8,9.6,9.8,9.6,139.7313228,35.7050654
Backpackers Hostel K's House Tokyo,Tokyo,2100,9.2km from city centre,9.2,Superb,9.1,9.3,9,8.6,9.5,9.6,9,139.792253,35.705066
YADOYA Guesthouse Orange,Tokyo,2000,2.9km from city centre,8.9,Fabulous,8.6,9,7.8,9.4,9,9.2,9.4,139.6676947,35.7065126
Iza Tokyo Asakusa Guesthouse,Tokyo,2500,9.9km from city centre,9.3,Superb,9.3,9.3,9.2,9.4,9.2,9.6,9.2,139.799302,35.706708
Oakhostel Fuji,Tokyo,2000,10km from city centre,9,Superb,8.2,9.2,8.9,8.9,9.4,9.1,9.2,139.8009084,35.7069254
AS House (Asakusa Smile),Tokyo,1600,10km from city centre,7.8,Very Good,7.9,6.2,7,9,8.2,8,8.3,139.800616,35.707363
Oakhostel Sakura,Tokyo,1800,11.3km from city centre,9.2,Superb,8,10,9.3,9.3,9.7,9,9,139.8152216,35.70739
TOKYO-W-INN Asakusa,Tokyo,2500,9.3km from city centre,8.9,Fabulous,8.2,9.2,8.9,8.9,8.8,9.4,9.2,139.7923088,35.7083161
Uno Ueno,Tokyo,1500,8.2km from city centre,8.8,Fabulous,7.8,9.3,8.5,8.9,9.2,9.3,8.6,139.7791708,35.7087463
Tokyo Hutte,Tokyo,3000,11.3km from city centre,7.1,Very Good,8,6,4,8,10,8,6,139.8150041,35.7088828
Centurion Ladies Hostel Uenopark (Female only),Tokyo,2500,7.4km from city centre,8.9,Fabulous,7.7,8.9,9.1,9.1,9.3,8.9,9.3,139.770129,35.709199
Hostel Chapter Two Tokyo,Tokyo,2700,9.8km from city centre,10,Superb,10,10,10,10,10,10,10,139.797217,35.709305
Book And Bed Tokyo Asakusa,Tokyo,4100,9.6km from city centre,9.1,Superb,8.7,9.7,8.6,9.4,9.5,9.3,8.6,139.7949806,35.7107965
Homeikan,Tokyo,3600,6.3km from city centre,9.3,Superb,9.1,9.4,9.1,9.1,9.1,10,9.1,139.75625,35.711231
Stayto (former: Oak Hotel),Tokyo,2500,8.7km from city centre,9,Superb,8.3,9.1,8.5,9.2,9.4,9.5,8.8,139.78462,35.711382
Khaosan Tokyo Kabuki,Tokyo,3000,9.7km from city centre,9.2,Superb,8.8,8.8,8.8,9.8,9.5,9.5,9,139.795251,35.711436
Khaosan Tokyo Laboratory,Tokyo,2600,9.3km from city centre,9.1,Superb,7.9,9.3,8.8,9.3,9.4,9.7,9.3,139.791328,35.711861
Asakusahotel Wasou,Tokyo,2000,9.9km from city centre,9.4,Superb,8.7,9.3,9,9.7,10,10,9.3,139.7966971,35.7118769
Bunka Hostel Tokyo,Tokyo,2200,9.5km from city centre,9.3,Superb,8.8,9.3,9.3,9.5,9.4,9.8,9.2,139.79322,35.712108
ENAKA Asakusa Central Hostel,Tokyo,2600,9.7km from city centre,9.3,Superb,8.9,9.8,9.3,9.6,9.6,9.1,8.9,139.795301,35.7121845
&And Hostel Ueno,Tokyo,2600,8.7km from city centre,7.4,Very Good,8,7.5,7.5,7.5,7,8,6.5,139.783667,35.712716
Guest House Denchi,Tokyo,3600,9.2km from city centre,8.9,Fabulous,8,10,6,8,10,10,10,139.7895455,35.7128268
Edo Tokyo Hostel,Tokyo,1800,15.8km from city centre,8.1,Fabulous,8,8.5,8,7.5,7,8.5,9,139.8638707,35.7129526
Retrometro Backpackers,Tokyo,3000,9.2km from city centre,9.4,Superb,9.4,9.4,9,9.4,9.5,9.8,9.6,139.7893615,35.7131573
Asakusa Hostel Toukaisou,Tokyo,1300,9.3km from city centre,8.9,Fabulous,7.9,9.4,8.3,9.5,9.2,8.9,9.2,139.79081,35.713177
Asakusa Ryokan Toukaisou,Tokyo,3600,9.3km from city centre,8.7,Fabulous,8,8.4,8.4,8.8,8.8,9.4,8.8,139.79081,35.713177
Astro Station,Tokyo,3500,3.8km from city centre,8.4,Fabulous,7.1,9.1,8,9.7,7.1,8.6,8.9,139.7036929,35.7143962
Khaosan World Asakusa RYOKAN & HOSTEL,Tokyo,2500,9.5km from city centre,8.8,Fabulous,8.5,8.7,8.5,8.9,9,9.2,8.6,139.791771,35.714595
Khaosan Tokyo Samurai,Tokyo,2500,9.5km from city centre,9.2,Superb,8,9.3,9.3,9.4,9.5,9.4,9.4,139.792325,35.714887
Quality Hostel K's House Tokyo Oasis,Tokyo,3000,9.6km from city centre,9,Superb,8.2,9.6,8.4,9.1,9.5,9.3,8.7,139.7935305,35.715796
WIRED HOTEL Asakusa,Tokyo,5200,9.7km from city centre,9.5,Superb,8.9,10,9.9,9.1,9.7,9.6,9.5,139.793905,35.7158533
Sakura Hostel Asakusa,Tokyo,2400,9.8km from city centre,8.6,Fabulous,7.7,8.6,8.4,8.9,9,9,8.7,139.7948263,35.7160224
Khaosan Tokyo Origami,Tokyo,2500,10km from city centre,9.5,Superb,8.9,9.7,9.6,9.4,9.7,9.7,9.4,139.797381,35.71634
Hotel Graphy Nezu,Tokyo,1800,7.6km from city centre,8.9,Fabulous,8.5,9.1,9.2,8.5,9.3,9.3,8.8,139.768667,35.717269
Hostel WAQWAQ Tokyo Ueno Asakusa,Tokyo,1600,9km from city centre,8.9,Fabulous,8.9,9.6,9,8.4,8.5,9,8.7,139.785178,35.717633
Space Hostel Tokyo,Tokyo,2200,9.1km from city centre,9.1,Superb,8.6,9.6,9,8.7,9.2,9.4,9.2,139.785652,35.718662
Hostel bedgasm,Tokyo,2900,9.5km from city centre,9.6,Superb,9.6,9.8,9.6,9.1,9.5,9.9,9.7,139.789033,35.72135
Oak Hostel Zen,Tokyo,2200,8.8km from city centre,9,Superb,8.2,8.9,8.9,9.1,9.6,9.3,8.9,139.7809311,35.7219034
Toco Tokyo Heritage Hostel,Tokyo,3000,9.1km from city centre,9.2,Superb,10,10,7.3,8.7,8.7,10,10,139.7839281,35.7220369
Ikidane House Asakusa Hatago,Tokyo,2000,10km from city centre,8.9,Fabulous,10,10,10,4,10,8,10,139.7950489,35.722089
Family & bAKpAK Tokyo Hostel,Tokyo,1800,9.8km from city centre,7.4,Very Good,6.5,6.5,7.5,7.5,8.5,6.5,9,139.79148,35.72369
1night1980hostel Tokyo,Tokyo,2100,9.4km from city centre,7,Very Good,5.5,8,6,6,8.5,8.5,6.5,139.7869499,35.724384
Juyoh Hotel,Tokyo,2900,10.7km from city centre,8.3,Fabulous,7.6,8.4,8.4,7.1,8.9,8.9,8.7,139.8007803,35.7267106
Sheena and Ippei,Tokyo,3700,4.2km from city centre,9.1,Superb,10,10,8,8,8,10,10,139.6930044,35.7273553
Aizuya Inn,Tokyo,2000,10.6km from city centre,8.5,Fabulous,8.1,8.3,8.4,7.8,8.9,9.1,8.9,139.800993,35.727547
&And Hostel-Asakusa North-,Tokyo,1500,10.5km from city centre,9.4,Superb,9.5,9.5,9,9,9.5,10,9.5,139.7983712,35.7278979
Sakura Hotel Nippori,Tokyo,1900,7.8km from city centre,9.1,Superb,8.6,9.4,8.9,9.1,9.7,9.4,8.6,139.764175,35.7281692
Book And Bed Tokyo Ikebukuro,Tokyo,4100,4.9km from city centre,8.2,Fabulous,8.9,8,8,9.1,7.7,8.6,7.4,139.7085388,35.7310808
RYOKAN＆HOSTEL WASABI Nippori,Tokyo,2000,9.1km from city centre,8.7,Fabulous,8.2,8.6,8.9,8.5,8.8,8.9,8.9,139.777723,35.732782
Sakura Hotel Ikebukuro,Tokyo,2300,5.1km from city centre,8.3,Fabulous,7.3,8.2,7.9,9,7.8,9.1,8.8,139.7088026,35.7336139
Good Diner Inn Copain,Tokyo,3300,5.6km from city centre,9.1,Superb,9.5,9.5,9.5,8,9,10,8.5,139.7182582,35.7346756
Ikidane House,Tokyo,2000,8.2km from city centre,9.1,Superb,8,9.6,8.8,9.2,9.2,9.6,9.2,139.7604533,35.7373998
J's Backpackers,Tokyo,1600,16.6km from city centre,8.3,Fabulous,8,10,8,4,10,8,10,139.8623809,35.745044
YAWP! backpackers,Tokyo,2500,17.5km from city centre,9.3,Superb,9.5,9.3,9.4,8.5,9.5,9.2,9.6,139.8691966,35.7528846
Guesthouse Kagaribi,Tokyo,2200,11.8km from city centre,8.3,Fabulous,8,8.8,8,6.8,8,9.6,8.8,139.7957726,35.7539265
Hop Step Inn,Tokyo,1500,8.5km from city centre,9.1,Superb,8.5,9.6,9.3,8.3,9.6,9.4,9.2,139.7382791,35.7560182
Shibamata FU-TEN Bed and Local,Tokyo,3000,18.5km from city centre,4.9,Rating,2,4,2,2,10,10,4,139.8778804,35.7597827
Emblem Hostel Nishiarai,Tokyo,2000,13.3km from city centre,9.3,Superb,9.5,9.8,9.7,7.4,9.8,9.8,9.5,139.791216,35.7782
JGH Tokyo,Tokyo,1600,13.2km from city centre,8.4,Fabulous,8.1,8,8.1,7.1,8.8,9.8,8.9,139.708425,35.8072664
Sakura Guest House,Osaka,2700,4.3km from city centre,4.9,Rating,4,4,4,8,4,6,4,135.505542,34.698976
Hostel J Culture 168,Osaka,3000,5.3km from city centre,7.5,Very Good,6.7,7.3,8.7,7.3,8,9.3,5.3,135.475917,34.748731
& And Hostel,Fukuoka-City,2600,0.7km from city centre,9.5,Superb,9.4,9.7,9.5,9.7,9.2,9.7,9.5,NA,NA
36Hostel,Hiroshima,2000,1.6km from city centre,9.5,Superb,8.8,9.9,9.2,9.6,9.8,9.8,9.5,NA,NA
3Q House - Asakusa Smile,Tokyo,2500,10.2km from city centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bed Stock,Fukuoka-City,2500,1.1km from city centre,8.9,Fabulous,8.6,9.9,8.1,9.4,8.9,9,8.6,NA,NA
bnb+ Ninja Dojo Ueno,Tokyo,2500,8km from city centre,5.2,Rating,4,3.3,4,8.7,5.3,4.7,6.7,NA,NA
bnb+Shinjuku Castle,Tokyo,2500,1.3km from city centre,5,Rating,2.7,4,3.3,7.3,5.3,5.3,6.7,NA,NA
Bonsai Guest House,Osaka,1800,5.9km from city centre,8.7,Fabulous,7.5,9.1,8.4,9.5,8.9,8.9,8.8,NA,NA
Calendar Hotel,Kyoto,3500,8.8km from city centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capsule Hotel Anshin Oyado Akihabara,Tokyo,6200,0km from city centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capsule Hotel Anshin Oyado Shinbashi,Tokyo,6000,6.6km from city centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Casa Macondo,Osaka,3000,5km from city centre,6.9,Good,6.5,6.5,7.5,7,7,6.5,7,NA,NA
Colours,Kyoto,1600,1.8km from city centre,8.9,Fabulous,4,10,10,8,10,10,10,NA,NA
Fairfield House,Kyoto,1700,1.9km from city centre,9.3,Superb,9.1,9.6,9.4,8.7,9.3,9.6,9.7,NA,NA
FUJITAYA Kyoto,Kyoto,3500,2.6km from city centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guest House Hokorobi,Fukuoka-City,2400,6km from city centre,8.4,Fabulous,7.7,8.5,8.5,7.5,9.5,8.7,8.7,NA,NA
Guest House TRACE,Tokyo,2700,8.7km from city centre,7.7,Very Good,6,6,6,8,10,8,10,NA,NA
Guesthouse Origami,Kyoto,1500,1.7km from city centre,8.1,Fabulous,7.7,7.1,7.7,8.6,8.6,8.9,8,NA,NA
Hisayo's Inn,Tokyo,3800,15.7km from city centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Home Hostel Osaka,Osaka,2700,6.2km from city centre,9.7,Superb,8.7,9.9,10,9.7,9.9,9.7,9.7,NA,NA
Hostel Chillout,Osaka,2300,4.3km from city centre,9.6,Superb,9.4,9.4,9.1,10,9.4,10,9.7,NA,NA
Hostel HARUYA Book,Kyoto,1500,3.1km from city centre,8.6,Fabulous,7.6,8.4,7.6,8,9.6,10,9.2,NA,NA
Hostel Namba Takumi,Osaka,2000,4.6km from city centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hostel Stand By Me,Fukuoka-City,4000,1.6km from city centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hostel TOKI,Fukuoka-City,2800,1.9km from city centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hotel Kawase Tokyo and Capsule,Tokyo,1900,9.8km from city centre,6.4,Good,5.4,5.1,6,8,6.3,7.4,6.6,NA,NA
Hotel Mikado,Osaka,2000,6.5km from city centre,8.7,Fabulous,9.3,7.3,8,9.3,8,9.3,9.3,NA,NA
Hotel Sun Plaza,Osaka,1300,6.3km from city centre,6.5,Good,6,7.3,6,6.7,6,7.3,6,NA,NA
IM Guest House,Osaka,1900,6.2km from city centre,8.3,Fabulous,7,8,7,8,9,10,9,NA,NA
Ken's House,Osaka,2000,4.7km from city centre,8.7,Fabulous,7.5,9,9,9.5,8,9,9,NA,NA
Khaosan Kyoto Guest House,Kyoto,2000,1.1km from city centre,8.9,Fabulous,8.2,8.8,8.5,9.6,9.1,9,8.9,NA,NA
Koenji Junjo Hotel,Tokyo,3300,3.9km from city centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyo To,Kyoto,2000,1.9km from city centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyoto Hostel ZEN,Kyoto,2500,0.7km from city centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Little Japan,Tokyo,2100,8.5km from city centre,9.2,Superb,8.7,9.3,9.3,8.7,9.2,9.5,9.5,NA,NA
Lucky's,Osaka,2500,3.2km from city centre,7.7,Very Good,2,10,8,8,10,10,6,NA,NA
Mosaic Machiya KSK,Kyoto,4000,3.5km from city centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poly Hostel Osaka,Osaka,3800,5.9km from city centre,9.4,Superb,8,10,10,8,10,10,10,NA,NA
RokuRoku,Kyoto,2500,2.4km from city centre,9.7,Superb,10,10,10,9,10,9,10,NA,NA
Roots Hostel,Osaka,3000,3.1km from city centre,8,Fabulous,7.8,7.9,7.6,7.5,8,9.1,8.1,NA,NA
Sakai Guest House,Osaka,2000,14.7km from city centre,6.6,Good,7,6,6,6,7,8,6,NA,NA
Talbot,Kyoto,2000,29.5km from city centre,10,Superb,10,10,10,10,10,10,10,NA,NA
The Dorm Hostel Osaka,Osaka,3800,3.6km from city centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
With B,Tokyo,4000,8.6km from city centre,9.1,Superb,8.5,9.5,9,8,9,9.5,10,NA,NA
YADOKARI Namba Hostel,Osaka,2500,4.7km from city centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
