hostel.name,City,price.from,Distance,summary.score,rating.band,atmosphere,cleanliness,facilities,location.y,security,staff,valueformoney,lon,lat
Guest House Matsu,Osaka,1900,7.4km from city centre,9.3,Superb,9,9.7,9.2,8.7,9.3,9.7,9.5,135.495148,34.640747
Peace House Abeno,Osaka,1200,6.9km from city centre,9,Superb,9,9.1,9.1,8.2,9.1,9.1,9.3,135.5072578,34.6447906
Peace House Showa,Osaka,1200,6.8km from city centre,7.5,Very Good,8,6.4,5.6,8,6.4,9.6,8.4,135.5065439,34.6457488
Hotel Wako,Osaka,1600,6.8km from city centre,6,Good,4,4,6,6,8,6,8,135.5018819,34.6459573
Ikidane House Namba,Osaka,1200,6.5km from city centre,9.3,Superb,8.9,9.6,9.7,8.8,8.9,9.6,9.6,135.5019794,34.6479104
Hotel Taiyo,Osaka,1500,6.5km from city centre,8.1,Fabulous,7.3,8,8,8.7,8.7,8,8,135.5047718,34.6483624
Backpackers Hotel Toyo Osaka,Osaka,1500,6.5km from city centre,8.8,Fabulous,8.1,8.2,8.5,8.9,9.3,9.3,9.3,135.5041024,34.6483651
Hotel Raizan South,Osaka,2000,6.5km from city centre,8.1,Fabulous,7,7,9,9,8,8,9,135.504278,34.648413
Peace House Sachi,Osaka,1200,6.5km from city centre,8.6,Fabulous,8.8,8.2,7.9,8.9,8.4,9.2,8.8,135.5042885,34.6484984
Kintetsu Friendly Hostel -Osaka Tennoji Park-,Osaka,2000,6.5km from city centre,9,Superb,7.8,9.5,9.1,9.4,9.3,9.1,9,135.5122677,34.6485086
Khaosan World Tennoji Hostel,Osaka,2300,6.6km from city centre,9,Superb,8.3,9.7,9.7,9.3,8.7,9.3,8,135.5183093,34.64884
Hotel Chuo,Osaka,1500,6.4km from city centre,6.4,Good,6,6,6,8,5,7,7,135.5046082,34.6490104
Peace House Suzunami,Osaka,1200,6.4km from city centre,8.2,Fabulous,8.4,7.1,7.9,8.7,8,8.9,8.2,135.5122777,34.6493107
Osaka Guesthouse Nest,Osaka,1500,6.7km from city centre,8.5,Fabulous,7.8,9,8.2,8.7,8.3,9.2,8,135.52325,34.6494472
Hotel Shin-Imamiya,Osaka,1400,6.3km from city centre,6.6,Good,4.8,7.3,6,7.8,8.3,6.3,5.8,135.5015478,34.6497931
The Pax Hostel/Records/More,Osaka,2300,6km from city centre,9.5,Superb,9.5,9.4,9.3,9.4,9.4,9.9,9.5,135.5054521,34.6527146
Daikoku Hostel,Osaka,2800,5.8km from city centre,8,Fabulous,6,8,8,8,9,9,8,135.4971528,34.6550004
Hostel Ebisutei Souzou with Sake Bar,Osaka,2400,5.6km from city centre,9.2,Superb,9.7,9,9,9.5,8.3,9.6,9.4,135.5052993,34.6560531
Hostel LnK (Lodging & Kin),Osaka,3300,5.6km from city centre,9.5,Superb,9.2,10,9.3,9.5,9.3,9.5,9.5,135.502521,34.656382
Funtoco Backpackers Namba,Osaka,2300,5.5km from city centre,9.3,Superb,8.9,9.6,9,9,9.5,10,9.4,135.503623,34.656784
Qoo Ebisucho,Osaka,2000,5.5km from city centre,5.7,Rating,6,8,6,6,2,8,4,135.5053576,34.657003
Osaka Namba Hostel MIYABI,Osaka,2000,5km from city centre,8.9,Fabulous,7.6,9.1,8.8,9.3,9,9.2,9.4,135.4967377,34.6620588
Oshiteruya,Osaka,2800,6.5km from city centre,7.3,Very Good,6.7,8,6.7,7.3,6.7,8,8,135.549222,34.663197
Shell Nell namba,Osaka,3200,4.8km from city centre,8.3,Fabulous,6,8,9,9,9,9,8,135.506291,34.663375
Very Hostel Namba,Osaka,2500,4.9km from city centre,9,Superb,8.8,9.2,9.2,8.8,8.4,9.2,9.2,135.4888061,34.6636522
Coco Hostel Osaka,Osaka,2100,4.7km from city centre,8.5,Fabulous,7.2,9.2,8,9.8,8.2,8.8,8.2,135.508221,34.6644243
Hostel Rakutsuki,Osaka,1900,4.7km from city centre,9.5,Superb,9.3,9.5,8.7,9.8,9.8,9.8,9.8,135.5062517,34.6647159
Khaosan World Namba,Osaka,2100,4.5km from city centre,8.5,Fabulous,7.4,8.4,8.4,9.1,8.9,9,8.4,135.49717,34.666165
Guesthouse HetoGep,Osaka,2500,4.5km from city centre,9.1,Superb,9.2,8.4,9.2,10,8.8,9.6,8.8,135.5049204,34.6662004
